1502879400 10432144 7.96 Wed, 16 Aug 2017 10:30:00 GMT
1502881200 17562096 13.40 Wed, 16 Aug 2017 11:00:00 GMT
1502884800 21865552 16.68 Wed, 16 Aug 2017 12:00:00 GMT
1502886600 15184480 11.58 Wed, 16 Aug 2017 12:30:00 GMT
1502888400 10862200 8.29 Wed, 16 Aug 2017 13:00:00 GMT
1502890200 16423968 12.53 Wed, 16 Aug 2017 13:30:00 GMT
1502892000 24515392 18.70 Wed, 16 Aug 2017 14:00:00 GMT
1502895600 22799512 17.39 Wed, 16 Aug 2017 15:00:00 GMT
1502897400 16047488 12.24 Wed, 16 Aug 2017 15:30:00 GMT
1502901000 19560336 14.92 Wed, 16 Aug 2017 16:30:00 GMT
1502902800 15601504 11.90 Wed, 16 Aug 2017 17:00:00 GMT
1502908200 12344952 9.42 Wed, 16 Aug 2017 18:30:00 GMT
1502911801 15271360 11.65 Wed, 16 Aug 2017 19:30:01 GMT
1502915400 18984032 14.48 Wed, 16 Aug 2017 20:30:00 GMT
1502917200 21143000 16.13 Wed, 16 Aug 2017 21:00:00 GMT
1502919000 21415224 16.34 Wed, 16 Aug 2017 21:30:00 GMT
1502920800 18409176 14.04 Wed, 16 Aug 2017 22:00:00 GMT
1502922600 20541384 15.67 Wed, 16 Aug 2017 22:30:00 GMT
1502924400 13318008 10.16 Wed, 16 Aug 2017 23:00:00 GMT
1502926200 21421016 16.34 Wed, 16 Aug 2017 23:30:00 GMT
1502928000 22353528 17.05 Thu, 17 Aug 2017 00:00:00 GMT
1502929800 17289872 13.19 Thu, 17 Aug 2017 00:30:00 GMT
1502931600 21024264 16.04 Thu, 17 Aug 2017 01:00:00 GMT
1502933400 20183728 15.40 Thu, 17 Aug 2017 01:30:00 GMT
1502935200 20918560 15.96 Thu, 17 Aug 2017 02:00:00 GMT
1502937000 21946640 16.74 Thu, 17 Aug 2017 02:30:00 GMT
1502938800 23366432 17.83 Thu, 17 Aug 2017 03:00:00 GMT
1502940600 26793096 20.44 Thu, 17 Aug 2017 03:30:00 GMT
1502944200 27847992 21.25 Thu, 17 Aug 2017 04:30:00 GMT
1502946000 22987752 17.54 Thu, 17 Aug 2017 05:00:00 GMT
